audio_1|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser|There is a really old blog entry from Twi-lee-oh about testing the T T S in browser
audio_869|Besides consonants and vowels, phonetics also describes the properties of speech that are not localized to segments but greater units of speech, such as syllables and phrases|Besides consonants and vowels, phonetics also describes the properties of speech that are not localized to segments but greater units of speech, such as syllables and phrases
audio_870|Prosody includes auditory characteristics such as pitch, speech rate, duration, and loudness|Prosody includes auditory characteristics such as pitch, speech rate, duration, and loudness
audio_871|Early theories of speech perception such as motor theory attempted to solve the problem of perceptual invariance by arguing that speech perception and production were closely linked|Early theories of speech perception such as motor theory attempted to solve the problem of perceptual invariance by arguing that speech perception and production were closely linked
audio_872|In its strongest form, motor theory argues that speech perception requires the listener to access the articulatory representation of sounds109 to properly categorize a sound, a listener reverse engineers the articulation which would produce that sound and by identifying these gestures is able to retrieve the intended linguistic category.110 While findings such as the McGurk effect and case studies from patients with neurological injuries have provided support for motor theory, further experiments have not supported the strong form of motor theory, though there is some support for weaker forms of motor theory which claim a non-deterministic relationship between production and perception.110111112|In its strongest form, motor theory argues that speech perception requires the listener to access the articulatory representation of sounds109 to properly categorize a sound, a listener reverse engineers the articulation which would produce that sound and by identifying these gestures is able to retrieve the intended linguistic category.110 While findings such as the McGurk effect and case studies from patients with neurological injuries have provided support for motor theory, further experiments have not supported the strong form of motor theory, though there is some support for weaker forms of motor theory which claim a non-deterministic relationship between production and perception.110111112
audio_873|Successor theories of speech perception place the focus on acoustic cues to sound categories and can be grouped into two broad categories abstractionist theories and episodic theories.113 In abstractionist theories, speech perception involves the identification of an idealized lexical object based on a signal reduced to its necessary components and normalizing the signal to counteract speaker variability|Successor theories of speech perception place the focus on acoustic cues to sound categories and can be grouped into two broad categories abstractionist theories and episodic theories.113 In abstractionist theories, speech perception involves the identification of an idealized lexical object based on a signal reduced to its necessary components and normalizing the signal to counteract speaker variability
audio_874|The problem of perceptual invariance is explained by episodic theories as an issue of familiarity normalization is a byproduct of exposure to more variable distributions rather than a discrete process as abstractionist theories claim.113|The problem of perceptual invariance is explained by episodic theories as an issue of familiarity normalization is a byproduct of exposure to more variable distributions rather than a discrete process as abstractionist theories claim.113
audio_875|Acoustic phonetics deals with the acoustic properties of speech sounds|Acoustic phonetics deals with the acoustic properties of speech sounds
audio_876|The ear transforms this movement into neural signals that the brain registers as sound|The ear transforms this movement into neural signals that the brain registers as sound
audio_877|Acoustic waveforms are records that measure these pressure fluctuations.114|Acoustic waveforms are records that measure these pressure fluctuations.114
audio_878|Articulatory phonetics deals with the ways in which speech sounds are made.|Articulatory phonetics deals with the ways in which speech sounds are made.
audio_879|Auditory phonetics studies how humans perceive speech sounds|Auditory phonetics studies how humans perceive speech sounds
audio_880|Human languages use many different sounds and to compare them linguists must be able to describe sounds in a way that is language independent|Human languages use many different sounds and to compare them linguists must be able to describe sounds in a way that is language independent
audio_881|Speech sounds can be described in a number of ways|Speech sounds can be described in a number of ways
audio_882|Because the acoustics are a consequence of the articulation, both methods of description are sufficient to distinguish sounds with the choice between systems dependent on the phonetic feature being investigated.|Because the acoustics are a consequence of the articulation, both methods of description are sufficient to distinguish sounds with the choice between systems dependent on the phonetic feature being investigated.
audio_883|The respiratory organs used to create and modify airflow are divided into three regions the vocal tract supralaryngeal, the larynx, and the subglottal system|The respiratory organs used to create and modify airflow are divided into three regions the vocal tract supralaryngeal, the larynx, and the subglottal system
audio_884|Vowels that are articulated with a stable quality are called monophthongs a combination of two separate vowels in the same syllable is a diphthong.118 In the IPA, the vowels are represented on a trapezoid shape representing the human mouth the vertical axis representing the mouth from floor to roof and the horizontal axis represents the front-back dimension.119|Vowels that are articulated with a stable quality are called monophthongs a combination of two separate vowels in the same syllable is a diphthong.118 In the IPA, the vowels are represented on a trapezoid shape representing the human mouth the vertical axis representing the mouth from floor to roof and the horizontal axis represents the front-back dimension.119
audio_885|The most widely known system of phonetic transcription, the International Phonetic Alphabet IPA, provides a standardized set of symbols for oral phones.120121 The standardized nature of the IPA enables its users to transcribe accurately and consistently the phones of different languages, dialects, and idiolects.120122123 The IPA is a useful tool not only for the study of phonetics but also for language teaching, professional acting, and speech pathology.122|The most widely known system of phonetic transcription, the International Phonetic Alphabet IPA, provides a standardized set of symbols for oral phones.120121 The standardized nature of the IPA enables its users to transcribe accurately and consistently the phones of different languages, dialects, and idiolects.120122123 The IPA is a useful tool not only for the study of phonetics but also for language teaching, professional acting, and speech pathology.122
audio_886|While no sign language has a standardized writing system, linguists have developed their own notation systems that describe the handshape, location and movement|While no sign language has a standardized writing system, linguists have developed their own notation systems that describe the handshape, location and movement
audio_887|The Hamburg Notation System HamNoSys is similar to the IPA in that it allows for varying levels of detail|The Hamburg Notation System HamNoSys is similar to the IPA in that it allows for varying levels of detail
audio_888|Due to requiring less energy, distal movements are generally easier to produce|Due to requiring less energy, distal movements are generally easier to produce
audio_889|Due to universal neurological limitations, two-handed signs generally have the same kind of articulation in both hands this is referred to as the Symmetry Condition.125 The second universal constraint is the Dominance Condition, which holds that when two handshapes are involved, one hand will remain stationary and have a more limited set of handshapes compared to the dominant, moving hand.127 Additionally, it is common for one hand in a two-handed sign to be dropped during informal conversations, a process referred to as weak drop.125 Just like words in spoken languages, coarticulation may cause signs to influence each other's form|Due to universal neurological limitations, two-handed signs generally have the same kind of articulation in both hands this is referred to as the Symmetry Condition.125 The second universal constraint is the Dominance Condition, which holds that when two handshapes are involved, one hand will remain stationary and have a more limited set of handshapes compared to the dominant, moving hand.127 Additionally, it is common for one hand in a two-handed sign to be dropped during informal conversations, a process referred to as weak drop.125 Just like words in spoken languages, coarticulation may cause signs to influence each other's form
audio_890|FastA P I framework, high performance, easy to learn, fast to code, ready for production|FastA P I framework, high performance, easy to learn, fast to code, ready for production
audio_891|FastA P I is a modern, fast high-performance, web framework for building A P Is with Python based on standard Python type hints.|FastA P I is a modern, fast high-performance, web framework for building A P Is with Python based on standard Python type hints.
audio_892| estimation based on tests on an internal development team, building production applications.| estimation based on tests on an internal development team, building production applications.
audio_893|"... I'm using FastA P I a ton these days|"... I'm using FastA P I a ton these days
audio_894|"We adopted the FastA P I library to spawn a REST server that can be queried to obtain predictions|"We adopted the FastA P I library to spawn a REST server that can be queried to obtain predictions
audio_895|"Netflix is pleased to announce the open-source release of our crisis management orchestration framework Dispatch! built with FastA P I"|"Netflix is pleased to announce the open-source release of our crisis management orchestration framework Dispatch! built with FastA P I"
audio_896|"Im over the moon excited about FastA P I|"Im over the moon excited about FastA P I
audio_897|"Honestly, what you've built looks super solid and polished|"Honestly, what you've built looks super solid and polished
audio_898|In many ways, it's what I wanted Hug to be - it's really inspiring to see someone build that."|In many ways, it's what I wanted Hug to be - it's really inspiring to see someone build that."
audio_899|"If you're looking to learn one modern framework for building REST A P Is, check out FastA P I ... It's fast, easy to use and easy to learn ..."|"If you're looking to learn one modern framework for building REST A P Is, check out FastA P I ... It's fast, easy to use and easy to learn ..."
audio_900|"We've switched over to FastA P I for our A P Is ... I think you'll like it ..."|"We've switched over to FastA P I for our A P Is ... I think you'll like it ..."
audio_901|"If anyone is looking to build a production Python A P I, I would highly recommend FastA P I|"If anyone is looking to build a production Python A P I, I would highly recommend FastA P I
audio_902|It is beautifully designed, simple to use and highly scalable, it has become a key component in our A P I first development strategy and is driving many automations and services such as our Virtual TAC Engineer."|It is beautifully designed, simple to use and highly scalable, it has become a key component in our A P I first development strategy and is driving many automations and services such as our Virtual TAC Engineer."
audio_903|If you are building a C L I app to be used in the terminal instead of a web A P I, check out Typer.|If you are building a C L I app to be used in the terminal instead of a web A P I, check out Typer.
audio_904|Typer is FastA P I's little sibling|Typer is FastA P I's little sibling
audio_905|And it's intended to be the FastA P I of C L Is|And it's intended to be the FastA P I of C L Is
audio_906|FastA P I stands on the shoulders of giants|FastA P I stands on the shoulders of giants
audio_907|Create and activate a virtual environment and then install FastA P I|Create and activate a virtual environment and then install FastA P I
audio_908|Note Make sure you put "fastA P I standard" in quotes to ensure it works in all terminals.|Note Make sure you put "fastA P I standard" in quotes to ensure it works in all terminals.
audio_909|The command fastapi dev reads your main.py file, detects the FastA P I app in it, and starts a server using Uvicorn.|The command fastapi dev reads your main.py file, detects the FastA P I app in it, and starts a server using Uvicorn.
audio_910|By default, fastapi dev will start with auto-reload enabled for local development.|By default, fastapi dev will start with auto-reload enabled for local development.
audio_911|You can read more about it in the FastA P I C L I docs.|You can read more about it in the FastA P I C L I docs.
audio_912|You will see the Jay-son response as|You will see the Jay-son response as
audio_913|You already created an A P I that|You already created an A P I that
audio_914|You will see the automatic interactive A P I documentation provided by Swagger user interface|You will see the automatic interactive A P I documentation provided by Swagger user interface
audio_915|Declare the body using standard Python types, thanks to Pydantic.|Declare the body using standard Python types, thanks to Pydantic.
audio_916|The fastapi dev server should reload automatically.|The fastapi dev server should reload automatically.
audio_917|You do that with standard modern Python types.|You do that with standard modern Python types.
audio_918|Just standard Python.|Just standard Python.
audio_919|Coming back to the previous code example, FastA P I will|Coming back to the previous code example, FastA P I will
audio_920|For a more complete example including more features, see the Tutorial - User Guide.|For a more complete example including more features, see the Tutorial - User Guide.
audio_921|Spoiler alert the tutorial - user guide includes|Spoiler alert the tutorial - user guide includes
audio_922|Independent TechEmpower benchmarks show FastA P I applications running under Uvicorn as one of the fastest Python frameworks available, only below Starlette and Uvicorn themselves used internally by FastA P I|Independent TechEmpower benchmarks show FastA P I applications running under Uvicorn as one of the fastest Python frameworks available, only below Starlette and Uvicorn themselves used internally by FastA P I
audio_923|FastA P I depends on Pydantic and Starlette.|FastA P I depends on Pydantic and Starlette.
audio_924|When you install FastA P I with pip install "fastA P I standard" it comes the standard group of optional dependencies|When you install FastA P I with pip install "fastA P I standard" it comes the standard group of optional dependencies
audio_925|Used by FastA P I  Starlette|Used by FastA P I  Starlette
audio_926|If you don't want to include the standard optional dependencies, you can install with pip install fastapi instead of pip install "fastA P I standard".|If you don't want to include the standard optional dependencies, you can install with pip install fastapi instead of pip install "fastA P I standard".
audio_927|Additional optional FastA P I dependencies|Additional optional FastA P I dependencies
audio_928|Web3 applications rely on a process called tokenization|Web3 applications rely on a process called tokenization
audio_929|In this case, tokenization is a digitization process to make assets more accessible|In this case, tokenization is a digitization process to make assets more accessible
audio_930|AI models and new modes of payments also use a process called tokenization, both of which have little to do with Web3 tokenizationor each other, for that matter|AI models and new modes of payments also use a process called tokenization, both of which have little to do with Web3 tokenizationor each other, for that matter
audio_931|In payments, tokenization is used for cybersecurity and to obfuscate the identity of the payment itself, essentially to prevent fraud|In payments, tokenization is used for cybersecurity and to obfuscate the identity of the payment itself, essentially to prevent fraud
audio_932|For a detailed description of tokenization in AI, see sidebar, How does tokenization work in AI?|For a detailed description of tokenization in AI, see sidebar, How does tokenization work in AI?
audio_933|toh-kuh-nuh-zay-shun in AI is used to break down data for easier pattern detection|toh-kuh-nuh-zay-shun in AI is used to break down data for easier pattern detection
audio_934|deep learning models trained on vast quantities of unstructured, unlabeled data are called foundation models|deep learning models trained on vast quantities of unstructured, unlabeled data are called foundation models
audio_935|Trained via a process called fine-tuning, these models can not only process massive amounts of unstructured text but also learn the relationships between sentences, words, or even portions of words|Trained via a process called fine-tuning, these models can not only process massive amounts of unstructured text but also learn the relationships between sentences, words, or even portions of words
audio_936|This in turn enables them to generate natural-language text or perform summarization or other knowledge-extraction tasks|This in turn enables them to generate natural-language text or perform summarization or other knowledge-extraction tasks
audio_937|Heres how tokenization makes this possible|Heres how tokenization makes this possible
audio_938|There are a number of tokenization techniques commonly used in LLMs|There are a number of tokenization techniques commonly used in LLMs
audio_939|The type of tokenization used depends on what the model needs to accomplish|The type of tokenization used depends on what the model needs to accomplish
audio_940|Different tokenization methods may also be combined to achieve the required results|Different tokenization methods may also be combined to achieve the required results
audio_941|McKinsey analysis indicates that tokenized market capitalization could reach around 2 trillion by 2030 excluding cryptocurrencies like Bitcoin and stablecoins like Tether|McKinsey analysis indicates that tokenized market capitalization could reach around 2 trillion by 2030 excluding cryptocurrencies like Bitcoin and stablecoins like Tether
audio_942|Specifically, we expect that organizations working with certain asset classes will be the quickest adopters these include cash and deposits, bonds and exchange-traded notes, mutual funds and exchange-traded funds, as well as loans and securitization|Specifically, we expect that organizations working with certain asset classes will be the quickest adopters these include cash and deposits, bonds and exchange-traded notes, mutual funds and exchange-traded funds, as well as loans and securitization
audio_943|Larry Fink, the chairman and CEO of BlackRock, said in January twenty twenty-four We believe the next step going forward will be the tokenization of financial assets, and that means every stock, every bond  will be on one general ledger.|Larry Fink, the chairman and CEO of BlackRock, said in January twenty twenty-four We believe the next step going forward will be the tokenization of financial assets, and that means every stock, every bond  will be on one general ledger.
audio_944|In general, tokenization is the process of issuing a digital, unique, and anonymous representation of a real thing|In general, tokenization is the process of issuing a digital, unique, and anonymous representation of a real thing
audio_945|Tokens can represent assets, including physical assets like real estate or art, financial assets like equities or bonds, intangible assets like intellectual property, or even identity and data|Tokens can represent assets, including physical assets like real estate or art, financial assets like equities or bonds, intangible assets like intellectual property, or even identity and data
audio_946|Web3 tokenization can create several types of tokens|Web3 tokenization can create several types of tokens
audio_947|As noted earlier, AI also uses a concept called tokenization, which is quite different from Web3 tokens despite their shared name|As noted earlier, AI also uses a concept called tokenization, which is quite different from Web3 tokens despite their shared name
audio_948|For a more detailed explanation of what tokenization means in an AI context, see sidebar, How does tokenization work in AI?|For a more detailed explanation of what tokenization means in an AI context, see sidebar, How does tokenization work in AI?
audio_949|The benefits of Web3 tokenization for financial institutions include the following|The benefits of Web3 tokenization for financial institutions include the following
audio_950|These, in turn, can mean increased efficiency, liquidity, and new revenue opportunities|These, in turn, can mean increased efficiency, liquidity, and new revenue opportunities
audio_951|Financial-services incumbents like BlackRock, WisdomTree, and Franklin Templeton, as well as Web3 natives Ondo Finance, Superstate, and Maple Finance, are increasingly adopting tokenized money market funds|Financial-services incumbents like BlackRock, WisdomTree, and Franklin Templeton, as well as Web3 natives Ondo Finance, Superstate, and Maple Finance, are increasingly adopting tokenized money market funds
audio_952|As weve seen, Web3 is a new type of internet, built on new types of technology|As weve seen, Web3 is a new type of internet, built on new types of technology
audio_953|As well see, these technologies come together to support a variety of breakthroughs related to tokenization.|As well see, these technologies come together to support a variety of breakthroughs related to tokenization.
audio_954|Some industry leaders believe tokenization stands to transform the structure of financial services and capital markets because it lets asset holders reap the benefits of blockchain, such as 247 operations and data availability|Some industry leaders believe tokenization stands to transform the structure of financial services and capital markets because it lets asset holders reap the benefits of blockchain, such as 247 operations and data availability
audio_955|Blockchain also offers faster transaction settlement and a higher degree of automation via embedded code that only gets activated if certain conditions are met|Blockchain also offers faster transaction settlement and a higher degree of automation via embedded code that only gets activated if certain conditions are met
audio_956|While yet to be tested at scale, tokenizations potential benefits include the following|While yet to be tested at scale, tokenizations potential benefits include the following
audio_957|Theres been hype around digital-asset tokenization for years, since its introduction back in 2017|Theres been hype around digital-asset tokenization for years, since its introduction back in 2017
audio_958|We are, though, seeing some slow movement as of mid-2023, US-based fintech infrastructure firm Broadridge was facilitating more than 1 trillion monthly on its distributed ledger platform|We are, though, seeing some slow movement as of mid-2023, US-based fintech infrastructure firm Broadridge was facilitating more than 1 trillion monthly on its distributed ledger platform
audio_959|There are four typical steps involved in asset tokenization|There are four typical steps involved in asset tokenization
audio_960|First released in 1985 as an extension of the C programming language, it has since expanded significantly over time as of 1997update, C has object-oriented, generic, and functional features, in addition to facilities for low-level memory manipulation for systems like microcomputers or to make operating systems like Li-nux or Windows|First released in 1985 as an extension of the C programming language, it has since expanded significantly over time as of 1997update, C has object-oriented, generic, and functional features, in addition to facilities for low-level memory manipulation for systems like microcomputers or to make operating systems like Li-nux or Windows
audio_961|It is usually implemented as a compiled language, and many vendors provide C compilers, including the Free Software Foundation, LLVM, Microsoft, Intel, Embarcadero, Oracle, and IBM.14|It is usually implemented as a compiled language, and many vendors provide C compilers, including the Free Software Foundation, LLVM, Microsoft, Intel, Embarcadero, Oracle, and IBM.14
audio_962|C was designed with systems programming and embedded, resource-constrained software and large systems in mind, with performance, efficiency, and flexibility of use as its design highlights.15 C has also been found useful in many other contexts, with key strengths being software infrastructure and resource-constrained applications,15 including desktop applications, video games, servers e.g., e-commerce, web search, or databases, and performance-critical applications e.g., telephone switches or space probes.16|C was designed with systems programming and embedded, resource-constrained software and large systems in mind, with performance, efficiency, and flexibility of use as its design highlights.15 C has also been found useful in many other contexts, with key strengths being software infrastructure and resource-constrained applications,15 including desktop applications, video games, servers e.g., e-commerce, web search, or databases, and performance-critical applications e.g., telephone switches or space probes.16
audio_963|C is standardized by the International Organization for Standardization ISO, with the latest standard version ratified and published by ISO in December 2020 as ISOIEC 148822020 informally known as C20.17 The C programming language was initially standardized in 1998 as ISOIEC 148821998, which was then amended by the C03, C11, C14, and C17 standards|C is standardized by the International Organization for Standardization ISO, with the latest standard version ratified and published by ISO in December 2020 as ISOIEC 148822020 informally known as C20.17 The C programming language was initially standardized in 1998 as ISOIEC 148821998, which was then amended by the C03, C11, C14, and C17 standards
audio_964|Before the initial standardization in 1998, C was developed by Stroustrup at Bell Labs since 1979 as an extension of the C language he wanted an efficient and flexible language similar to C that also provided high-level features for program organization.18 Since 2012, C has been on a three-year release schedule19 with C23 as the next planned standard.20|Before the initial standardization in 1998, C was developed by Stroustrup at Bell Labs since 1979 as an extension of the C language he wanted an efficient and flexible language similar to C that also provided high-level features for program organization.18 Since 2012, C has been on a three-year release schedule19 with C23 as the next planned standard.20
audio_965|In 1979, Bjarne Stroustrup, a Danish computer scientist, began work on "C with Classes", the predecessor to C.21 The motivation for creating a new language originated from Stroustrup's experience in programming for his PhD thesis|In 1979, Bjarne Stroustrup, a Danish computer scientist, began work on "C with Classes", the predecessor to C.21 The motivation for creating a new language originated from Stroustrup's experience in programming for his PhD thesis
audio_966|Stroustrup found that Simula had features that were very helpful for large software development, but the language was too slow for practical use, while BCPL was fast but too low-level to be suitable for large software development|Stroustrup found that Simula had features that were very helpful for large software development, but the language was too slow for practical use, while BCPL was fast but too low-level to be suitable for large software development
audio_967|Remembering his PhD experience, Stroustrup set out to enhance the C language with Simula-like features.22 C was chosen because it was general-purpose, fast, portable, and widely used|Remembering his PhD experience, Stroustrup set out to enhance the C language with Simula-like features.22 C was chosen because it was general-purpose, fast, portable, and widely used
audio_968|In 1989, C 2.0 was released, followed by the updated second edition of The C Programming Language in 1991.25 New features in 2.0 included multiple inheritance, abstract classes, static member functions, const member functions, and protected members|In 1989, C 2.0 was released, followed by the updated second edition of The C Programming Language in 1991.25 New features in 2.0 included multiple inheritance, abstract classes, static member functions, const member functions, and protected members
audio_969|After a minor C14 update released in December 2014, various new additions were introduced in C17.26 After becoming finalized in February 2020,27 a draft of the C20 standard was approved on 4 September 2020, and officially published on 15 December 2020.2829|After a minor C14 update released in December 2014, various new additions were introduced in C17.26 After becoming finalized in February 2020,27 a draft of the C20 standard was approved on 4 September 2020, and officially published on 15 December 2020.2829
audio_970|As of December 2022update, C ranked third on the TIOBE index, surpassing Java for the first time in the history of the index|As of December 2022update, C ranked third on the TIOBE index, surpassing Java for the first time in the history of the index
audio_971|It ranks third, after Python and C.31|It ranks third, after Python and C.31
audio_972|According to Stroustrup, "the name signifies the evolutionary nature of the changes from C."32 This name is credited to Rick Mascitti mid-198323 and was first used in December 1983|According to Stroustrup, "the name signifies the evolutionary nature of the changes from C."32 This name is credited to Rick Mascitti mid-198323 and was first used in December 1983
audio_973|When Mascitti was questioned informally in 1992 about the naming, he indicated that it was given in a tongue-in-cheek spirit|When Mascitti was questioned informally in 1992 about the naming, he indicated that it was given in a tongue-in-cheek spirit
audio_974|During C's development period, the language had been referred to as "new C" and "C with Classes"2333 before acquiring its final name.|During C's development period, the language had been referred to as "new C" and "C with Classes"2333 before acquiring its final name.
audio_975|Throughout C's life, its development and evolution has been guided by a set of principles22|Throughout C's life, its development and evolution has been guided by a set of principles22
audio_976|In 1998, the ISO working group standardized C for the first time as ISOIEC 148821998, which is informally known as C98|In 1998, the ISO working group standardized C for the first time as ISOIEC 148821998, which is informally known as C98
audio_977|The next major revision of the standard was informally referred to as "C0x", but it was not released until 2011.39 C11 148822011 included many additions to both the core language and the standard library.36|The next major revision of the standard was informally referred to as "C0x", but it was not released until 2011.39 C11 148822011 included many additions to both the core language and the standard library.36
audio_978|After C14, a major revision C17, informally known as C1z, was completed by the ISO C committee in mid July 2017 and was approved and published in December 2017.42|After C14, a major revision C17, informally known as C1z, was completed by the ISO C committee in mid July 2017 and was approved and published in December 2017.42
audio_979|Stroustrup describes C as "a light-weight abstraction programming language designed for building and using efficient and elegant abstractions"15 and "offering both hardware access and abstraction is the basis of C|Stroustrup describes C as "a light-weight abstraction programming language designed for building and using efficient and elegant abstractions"15 and "offering both hardware access and abstraction is the basis of C
audio_980|Doing it efficiently is what distinguishes it from other languages."60|Doing it efficiently is what distinguishes it from other languages."60
audio_981|A hello world program that conforms to the C standard is also a valid C hello word program|A hello world program that conforms to the C standard is also a valid C hello word program
audio_982|The exact order of creation is not specified by the standard though there are some rules defined below to allow implementations some freedom in how to organize their implementation|The exact order of creation is not specified by the standard though there are some rules defined below to allow implementations some freedom in how to organize their implementation
audio_983|More formally, objects of this type have a lifespan that "shall last for the duration of the program".64|More formally, objects of this type have a lifespan that "shall last for the duration of the program".64
audio_984|First, "static initialization" is performed, and only after all static initialization is performed, "dynamic initialization" is performed|First, "static initialization" is performed, and only after all static initialization is performed, "dynamic initialization" is performed
audio_985|Member variables are created when the parent object is created|Member variables are created when the parent object is created
audio_986|Array members are initialized from 0 to the last member of the array in order|Array members are initialized from 0 to the last member of the array in order
audio_987|Member variables are destroyed when the parent object is destroyed in the reverse order of creation|Member variables are destroyed when the parent object is destroyed in the reverse order of creation
audio_988|If the parent is an "automatic object" then it will be destroyed when it goes out of scope which triggers the destruction of all its members.|If the parent is an "automatic object" then it will be destroyed when it goes out of scope which triggers the destruction of all its members.
audio_989|The C Core Guidelines advise against using new directly for creating dynamic objects in favor of smart pointers through make_uniqueT for single ownership and make_sharedT for reference-counted multiple ownership,68 which were introduced in C11.|The C Core Guidelines advise against using new directly for creating dynamic objects in favor of smart pointers through make_uniqueT for single ownership and make_sharedT for reference-counted multiple ownership,68 which were introduced in C11.
audio_990|Templates are aware of the semantics and type system of their companion language, as well as all compile-time type definitions, and can perform high-level operations including programmatic flow control based on evaluation of strictly type-checked parameters|Templates are aware of the semantics and type system of their companion language, as well as all compile-time type definitions, and can perform high-level operations including programmatic flow control based on evaluation of strictly type-checked parameters
audio_991|Macros are capable of conditional control over compilation based on predetermined criteria, but cannot instantiate new types, recurse, or perform type evaluation and in effect are limited to pre-compilation text-substitution and text-inclusionexclusion|Macros are capable of conditional control over compilation based on predetermined criteria, but cannot instantiate new types, recurse, or perform type evaluation and in effect are limited to pre-compilation text-substitution and text-inclusionexclusion
audio_992|In other words, macros can control compilation flow based on pre-defined symbols but cannot, unlike templates, independently instantiate new symbols|In other words, macros can control compilation flow based on pre-defined symbols but cannot, unlike templates, independently instantiate new symbols
audio_993|In addition, templates are a compile-time mechanism in C that is Turing-complete, meaning that any computation expressible by a computer program can be computed, in some form, by a template metaprogram before runtime.|In addition, templates are a compile-time mechanism in C that is Turing-complete, meaning that any computation expressible by a computer program can be computed, in some form, by a template metaprogram before runtime.
audio_994|After instantiation, the resulting code is equivalent to code written specifically for the passed arguments|After instantiation, the resulting code is equivalent to code written specifically for the passed arguments
audio_995|In this manner, templates provide a way to decouple generic, broadly applicable aspects of functions and classes encoded in templates from specific aspects encoded in template parameters without sacrificing performance due to abstraction.|In this manner, templates provide a way to decouple generic, broadly applicable aspects of functions and classes encoded in templates from specific aspects encoded in template parameters without sacrificing performance due to abstraction.
audio_996|One distinguishing feature of C classes compared to classes in other programming languages is support for deterministic destructors, which in turn provide support for the Resource Acquisition is Initialization RAII concept.|One distinguishing feature of C classes compared to classes in other programming languages is support for deterministic destructors, which in turn provide support for the Resource Acquisition is Initialization RAII concept.
audio_997|Encapsulation is the hiding of information to ensure that data structures and operators are used as intended and to make the usage model more obvious to the developer|Encapsulation is the hiding of information to ensure that data structures and operators are used as intended and to make the usage model more obvious to the developer
audio_998|Within a class, members can be declared as either public, protected, or private to explicitly enforce encapsulation|Within a class, members can be declared as either public, protected, or private to explicitly enforce encapsulation
audio_999|A public member of the class is accessible to any function|A public member of the class is accessible to any function
audio_1000|A private member is accessible only to functions that are members of that class and to functions and classes explicitly granted access permission by the class "friends"|A private member is accessible only to functions that are members of that class and to functions and classes explicitly granted access permission by the class "friends"
audio_1001|A protected member is accessible to members of classes that inherit from the class in addition to the class itself and any friends.|A protected member is accessible to members of classes that inherit from the class in addition to the class itself and any friends.
audio_1002|C supports this principle via member functions and friend functions, but it does not enforce it|C supports this principle via member functions and friend functions, but it does not enforce it
audio_1003|Inheritance allows one data type to acquire properties of other data types|Inheritance allows one data type to acquire properties of other data types
audio_1004|This access specifier determines whether unrelated and derived classes can access the inherited public and protected members of the base class|This access specifier determines whether unrelated and derived classes can access the inherited public and protected members of the base class
audio_1005|The other two forms are much less frequently used|The other two forms are much less frequently used
audio_1006|Virtual inheritance ensures that only one instance of a base class exists in the inheritance graph, avoiding some of the ambiguity problems of multiple inheritance.|Virtual inheritance ensures that only one instance of a base class exists in the inheritance graph, avoiding some of the ambiguity problems of multiple inheritance.
audio_1007|Some other languages, such as C or Java, accomplish something similar although more limited by allowing inheritance of multiple interfaces while restricting the number of base classes to one interfaces, unlike classes, provide only declarations of member functions, no implementation or member data|Some other languages, such as C or Java, accomplish something similar although more limited by allowing inheritance of multiple interfaces while restricting the number of base classes to one interfaces, unlike classes, provide only declarations of member functions, no implementation or member data
audio_1008|The member functions of such an abstract base class are normally explicitly defined in the derived class, not inherited implicitly|The member functions of such an abstract base class are normally explicitly defined in the derived class, not inherited implicitly
audio_1009|C virtual inheritance exhibits an ambiguity resolution feature called dominance.|C virtual inheritance exhibits an ambiguity resolution feature called dominance.
audio_1010|Almost all operators can be overloaded for user-defined types, with a few notable exceptions such as member access|Almost all operators can be overloaded for user-defined types, with a few notable exceptions such as member access
audio_1011|The rich set of overloadable operators is central to making user-defined types in C seem like built-in types.|The rich set of overloadable operators is central to making user-defined types in C seem like built-in types.
audio_1012|Overloading an operator does not change the precedence of calculations involving the operator, nor does it change the number of operands that the operator uses any operand may however be ignored by the operator, though it will be evaluated prior to execution|Overloading an operator does not change the precedence of calculations involving the operator, nor does it change the number of operands that the operator uses any operand may however be ignored by the operator, though it will be evaluated prior to execution
audio_1013|Overloaded "" and "" operators lose their short-circuit evaluation property.|Overloaded "" and "" operators lose their short-circuit evaluation property.
audio_1014|Compile-time polymorphism does not allow for certain run-time decisions, while runtime polymorphism typically incurs a performance penalty.|Compile-time polymorphism does not allow for certain run-time decisions, while runtime polymorphism typically incurs a performance penalty.
audio_1015|The functions are distinguished by the number or types of their formal parameters|The functions are distinguished by the number or types of their formal parameters
audio_1016|The type returned by the function is not used to distinguish overloaded functions and differing return types would result in a compile-time error message.|The type returned by the function is not used to distinguish overloaded functions and differing return types would result in a compile-time error message.
audio_1017|In many cases, specifying default arguments in a single function declaration is preferable to providing overloaded function definitions with different numbers of parameters.|In many cases, specifying default arguments in a single function declaration is preferable to providing overloaded function definitions with different numbers of parameters.
audio_1018|In particular, through the curiously recurring template pattern, it is possible to implement a form of static polymorphism that closely mimics the syntax for overriding virtual functions|In particular, through the curiously recurring template pattern, it is possible to implement a form of static polymorphism that closely mimics the syntax for overriding virtual functions
